simulation_id,round,timestamp,centralized_loss,centralized_mta,centralized_asr,num_clients
,3,2025-10-09T13:27:11.701493,2.6854711368585087,0.1517,0.8408203125,
,4,2025-10-09T13:28:10.701748,1.4829511915802196,0.4433,0.109375,
,5,2025-10-09T13:30:11.598938,1.7758633179269778,0.3479,0.3916015625,
,6,2025-10-09T13:31:03.932316,1.2811192182978248,0.5284,0.1337890625,
,7,2025-10-09T13:33:44.148518,1.539625259721355,0.4396,0.28125,
,8,2025-10-09T13:36:09.497372,1.2964065598834091,0.5277,0.443359375,
,9,2025-10-09T13:38:40.000471,1.2048761259977985,0.5716,0.7412109375,
,10,2025-10-09T13:41:25.371779,1.1274630438749957,0.597,0.7958984375,
,11,2025-10-09T13:42:15.137701,1.018767629079758,0.6352,0.7783203125,
,12,2025-10-09T13:43:33.011906,1.0136282812258242,0.6381,0.7109375,
,13,2025-10-09T13:44:28.550410,1.0025574318162955,0.6433,0.6484375,
,14,2025-10-09T13:45:44.385292,0.982161437629894,0.6529,0.580078125,
,15,2025-10-09T13:46:49.386725,0.972535875192873,0.6606,0.484375,
,16,2025-10-09T13:48:03.046672,0.9884450181274657,0.656,0.4951171875,
,17,2025-10-09T13:50:24.116523,1.1104606105263826,0.6263,0.572265625,
,18,2025-10-09T13:52:49.822447,1.0447665289708763,0.6501,0.78515625,
,19,2025-10-09T13:53:57.893919,0.9708806477534543,0.6715,0.8798828125,
,20,2025-10-09T13:54:59.792206,0.9720530031592982,0.6735,0.7978515625,
,21,2025-10-09T13:57:46.747556,1.1175612211227417,0.6455,0.8427734375,
,22,2025-10-09T13:59:16.305701,1.0828531604663583,0.6588,0.9267578125,
,23,2025-10-09T14:00:13.052209,0.9670728327362401,0.6822,0.96875,
,24,2025-10-09T14:01:09.718794,0.9682958520901431,0.6872,0.916015625,
,25,2025-10-09T14:02:06.962265,0.9755471906844219,0.6912,0.90234375,
,0,2025-10-09T14:50:25.328424,2.43390150282793,0.0847,0.423828125,
,1,2025-10-09T14:51:14.498013,2.3651453476802557,0.1105,0.8173828125,
,2,2025-10-09T14:52:00.525095,2.307607674294976,0.186,0.5400390625,
,3,2025-10-09T14:52:47.247169,1.7244453194794382,0.3518,0.146484375,
,4,2025-10-09T14:53:35.438236,1.5073514136539143,0.4362,0.1181640625,
,5,2025-10-09T15:01:09.682635,1.3770558925191307,0.4902,0.107421875,
,6,2025-10-09T15:01:45.553681,1.310795823100266,0.5142,0.07421875,
,7,2025-10-09T15:02:31.351014,1.2488594499363261,0.5446,0.1103515625,
,8,2025-10-09T15:03:17.514724,1.1927335520458828,0.5661,0.107421875,
,9,2025-10-09T15:04:03.857361,1.1370901112343854,0.5864,0.1142578125,
,10,2025-10-09T15:04:50.388651,1.1146571955103783,0.5995,0.11328125,
,11,2025-10-09T15:05:36.626125,1.0753904296334382,0.6097,0.0966796875,
,12,2025-10-09T15:06:23.297080,1.0660893632348176,0.6145,0.107421875,
,13,2025-10-09T15:07:12.684014,1.0602441209896354,0.6192,0.11328125,
,14,2025-10-09T15:09:21.509360,1.023421414338859,0.6339,0.0966796875,
,15,2025-10-09T15:10:08.756811,1.0173723534413963,0.6345,0.099609375,
,16,2025-10-09T15:10:55.017415,1.0341916938496243,0.6347,0.11328125,
,17,2025-10-09T15:11:42.122646,0.9926293830203402,0.6524,0.10546875,
,18,2025-10-09T15:12:28.371836,0.9969935470325931,0.6523,0.099609375,
,19,2025-10-09T15:13:14.432117,1.010556650769179,0.6514,0.115234375,
,20,2025-10-09T15:14:04.156982,0.9703570091800325,0.6662,0.09765625,
,21,2025-10-09T15:14:50.362216,0.9858990433109793,0.6682,0.1005859375,
,22,2025-10-09T15:15:36.514253,0.9730580525033793,0.6725,0.107421875,
,23,2025-10-09T15:16:23.714228,0.9763213851649291,0.6704,0.1025390625,
,24,2025-10-09T15:17:09.501546,0.9841124669761415,0.6697,0.08984375,
,25,2025-10-09T15:17:57.456271,0.9782395955103977,0.6769,0.0810546875,
,0,2025-10-10T13:34:07.955193,2.354395556601749,0.1017,0.9091796875,
,1,2025-10-10T13:36:07.689991,2.7685805673052553,0.1,0.0,
,2,2025-10-10T13:37:24.535958,2.4613037580137798,0.1694,0.0498046875,
,3,2025-10-10T13:37:55.778694,1.6189211925883202,0.3987,0.0595703125,
,4,2025-10-10T13:38:42.174848,1.3969125087094154,0.4872,0.0830078125,
,5,2025-10-10T13:39:26.906737,1.239020518816201,0.5499,0.0732421875,
,6,2025-10-10T13:40:13.006273,1.1039575175115257,0.6061,0.068359375,
,7,2025-10-10T13:40:59.020547,1.068588859716039,0.6125,0.0615234375,
,8,2025-10-10T13:41:43.973778,0.9921977561750229,0.6432,0.1064453125,
,9,2025-10-10T13:42:28.724021,0.9668217346926403,0.6558,0.068359375,
,10,2025-10-10T13:43:12.990362,0.9498800809975643,0.6594,0.0654296875,
,11,2025-10-10T13:43:58.217299,0.8881489699053916,0.6868,0.0869140625,
,12,2025-10-10T13:44:43.290259,0.8685392657662653,0.6932,0.1201171875,
,13,2025-10-10T13:45:27.942458,0.8716025454982831,0.6916,0.0908203125,
,14,2025-10-10T13:46:12.751005,0.8327462826944461,0.7072,0.0927734375,
,15,2025-10-10T13:46:57.255239,0.8137642710831514,0.7182,0.091796875,
,16,2025-10-10T13:47:42.706941,0.8127026595887105,0.7185,0.1181640625,
,17,2025-10-10T13:48:27.957529,0.7741762507872977,0.732,0.0673828125,
,18,2025-10-10T13:49:36.380495,0.8034113034321244,0.7235,0.099609375,
,19,2025-10-10T13:50:21.251066,0.7806293934014192,0.7383,0.072265625,
,20,2025-10-10T13:51:06.466356,0.7509274201787961,0.7416,0.099609375,
,21,2025-10-10T13:51:51.741467,0.7627636342291619,0.7374,0.072265625,
,22,2025-10-10T13:52:36.736612,0.7930059732904859,0.7319,0.087890625,
,23,2025-10-10T13:53:21.904746,0.725570184409998,0.7527,0.1064453125,
,24,2025-10-10T13:54:06.611787,0.7328510278729117,0.7512,0.072265625,
,25,2025-10-10T13:54:52.386555,0.7977968188607769,0.7317,0.0693359375,
